"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Ago 13","23,85","28,98","31,81","23,72","24,75M","-15,51%"
"Jul 13","28,23","26,28","34,64","22,37","22,44M","6,89%"
"Jun 13","26,41","27,09","33,15","23,18","23,30M","-1,26%"
"Mai 13","26,75","33,36","33,36","26,75","21,88M","-19,80%"
"Abr 13","33,36","41,44","42,45","32,95","16,78M","-18,85%"
"Mar 13","41,10","44,86","45,16","39,08","18,11M","-9,11%"
"Fev 13","45,23","50,09","50,52","43,32","10,53M","-8,70%"
"Jan 13","49,53","51,81","56,42","47,56","14,37M","-3,25%"
"Dez 12","51,19","49,59","52,73","48,36","6,44M","3,35%"
"Nov 12","49,53","50,39","52,06","47,50","7,19M","-1,11%"
"Out 12","50,09","50,46","53,59","49,84","7,92M","-0,12%"
"Set 12","50,15","47,63","52,86","46,33","12,60M","5,71%"
"Ago 12","47,44","57,63","58,03","46,21","15,09M","-18,48%"
"Jul 12","58,20","47,34","59,34","46,99","11,41M","23,39%"
"Jun 12","47,16","45,51","48,25","41,90","9,35M","3,12%"
"Mai 12","45,74","57,97","58,20","44,88","13,38M","-22,11%"
"Abr 12","58,72","49,87","59,23","43,74","15,34M","17,60%"
"Mar 12","49,93","47,41","52,63","45,37","4,00M","5,40%"
"Fev 12","47,37","45,37","47,57","44,06","2,61M","4,04%"
"Jan 12","45,53","44,88","47,61","43,45","1,66M","2,48%"
"Dez 11","44,43","44,92","46,88","41,77","1,37M","0,74%"
"Nov 11","44,10","45,94","49,04","40,63","1,58M","-8,63%"
"Out 11","48,27","44,47","49,74","41,49","1,40M","7,75%"
"Set 11","44,80","49,17","50,19","43,78","1,87M","-8,20%"
"Ago 11","48,80","53,09","54,52","42,26","2,48M","-8,92%"
"Jul 11","53,58","60,84","61,25","51,86","1,30M","-12,53%"
