"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jan 14","10,49","10,64","11,44","10,22","91,97M","-0,83%"
"Dez 13","10,58","11,51","11,60","10,47","56,79M","-8,86%"
"Nov 13","11,60","12,38","12,38","11,09","70,64M","-5,67%"
"Out 13","12,30","12,46","12,80","11,94","53,51M","0,00%"
"Set 13","12,30","11,69","12,98","11,45","56,98M","6,55%"
"Ago 13","11,55","12,21","12,73","11,19","64,23M","-3,50%"
"Jul 13","11,96","11,16","12,61","11,00","62,78M","6,19%"
"Jun 13","11,27","12,63","12,77","10,71","75,49M","-9,76%"
"Mai 13","12,49","13,07","13,93","12,47","66,74M","-3,82%"
"Abr 13","12,98","12,28","13,28","12,02","69,64M","4,90%"
"Mar 13","12,38","12,29","12,63","11,39","63,66M","-0,40%"
"Fev 13","12,43","12,60","12,75","11,62","57,65M","-0,85%"
"Jan 13","12,53","12,98","13,35","12,29","81,41M","-1,90%"
"Dez 12","12,78","12,67","13,63","12,27","61,58M","0,39%"
"Nov 12","12,73","12,32","13,07","11,64","43,22M","3,48%"
"Out 12","12,30","12,48","13,14","12,10","59,33M","-1,03%"
"Set 12","12,43","11,85","12,99","11,71","65,73M","5,39%"
"Ago 12","11,79","10,64","12,48","10,53","88,53M","11,55%"
"Jul 12","10,57","10,43","11,38","9,39","67,22M","0,00%"
"Jun 12","10,57","10,43","11,40","10,10","57,31M","-2,12%"
"Mai 12","10,80","10,93","11,97","9,53","102,72M","-1,82%"
"Abr 12","11,00","11,39","12,57","10,85","84,54M","-2,87%"
"Mar 12","11,32","12,26","13,83","11,32","89,50M","-6,76%"
"Fev 12","12,14","11,44","13,18","11,36","70,14M","7,05%"
"Jan 12","11,34","10,30","12,20","10,30","86,60M","9,03%"
"Dez 11","10,40","10,92","11,46","10,17","82,75M","-1,26%"
"Nov 11","10,54","10,06","11,08","9,32","87,14M","0,13%"
"Out 11","10,52","8,08","11,27","7,75","95,55M","28,18%"
"Set 11","8,21","11,22","11,72","8,11","109,33M","-22,40%"
"Ago 11","10,58","10,76","10,89","8,77","139,28M","-0,72%"
"Jul 11","10,66","10,48","11,22","9,67","109,68M","2,22%"
